====== HTTPResponse_20_10 distribution ======
counter  = 42
minValue = 667
aveValue = 3280.40476190476
maxValue = 8967
----------------------------------------.
No.		| Value		| Count	|
----------------------------------------|
66		 660		 1	
67		 670		 2	
101		 1010		 3	
134		 1340		 2	
135		 1350		 1	
151		 1510		 1	
166		 1660		 1	
167		 1670		 1	
184		 1840		 1	
201		 2010		 1	
202		 2020		 2	
208		 2080		 1	
221		 2210		 1	
235		 2350		 2	
236		 2360		 1	
269		 2690		 3	
292		 2920		 1	
302		 3020		 3	
310		 3100		 1	
376		 3760		 1	
394		 3940		 1	
456		 4560		 1	
493		 4930		 1	
500		 5000		 9	
----------------------------------------'

