====== ATMClientTest distribution ======
counter  = 1868
minValue = 9
aveValue = 1318.48822269807
maxValue = 4492
----------------------------------------.
No.		| Value		| Count	|
----------------------------------------|
0		 0		 2	
1		 10		 19	
2		 20		 24	
3		 30		 11	
4		 40		 3	
5		 50		 2	
6		 60		 7	
7		 70		 10	
8		 80		 18	
9		 90		 15	
10		 100		 9	
11		 110		 13	
12		 120		 10	
13		 130		 10	
14		 140		 14	
15		 150		 10	
16		 160		 12	
17		 170		 21	
18		 180		 17	
19		 190		 18	
20		 200		 16	
21		 210		 14	
22		 220		 14	
23		 230		 12	
24		 240		 12	
25		 250		 17	
26		 260		 15	
27		 270		 11	
28		 280		 14	
29		 290		 12	
30		 300		 16	
31		 310		 15	
32		 320		 12	
33		 330		 9	
34		 340		 16	
35		 350		 13	
36		 360		 13	
37		 370		 14	
38		 380		 9	
39		 390		 10	
40		 400		 9	
41		 410		 8	
42		 420		 10	
43		 430		 8	
44		 440		 9	
45		 450		 5	
46		 460		 7	
47		 470		 13	
48		 480		 13	
49		 490		 5	
50		 500		 3	
51		 510		 11	
52		 520		 2	
53		 530		 4	
54		 540		 6	
55		 550		 1	
56		 560		 7	
57		 570		 5	
58		 580		 3	
59		 590		 10	
60		 600		 6	
61		 610		 5	
62		 620		 5	
63		 630		 6	
64		 640		 7	
65		 650		 5	
66		 660		 8	
67		 670		 6	
68		 680		 1	
69		 690		 8	
70		 700		 7	
71		 710		 4	
72		 720		 5	
73		 730		 5	
74		 740		 4	
75		 750		 3	
76		 760		 4	
77		 770		 5	
78		 780		 5	
79		 790		 6	
80		 800		 4	
81		 810		 3	
82		 820		 4	
83		 830		 5	
84		 840		 2	
85		 850		 5	
86		 860		 2	
87		 870		 1	
88		 880		 3	
89		 890		 3	
90		 900		 2	
91		 910		 2	
92		 920		 2	
93		 930		 4	
94		 940		 7	
95		 950		 1	
96		 960		 1	
97		 970		 4	
98		 980		 3	
99		 990		 3	
100		 1000		 2	
101		 1010		 6	
102		 1020		 5	
103		 1030		 6	
104		 1040		 6	
105		 1050		 3	
106		 1060		 6	
107		 1070		 7	
108		 1080		 4	
109		 1090		 3	
110		 1100		 10	
