====== ATMClientTest distribution ======
counter  = 1868
minValue = 9
aveValue = 1318.48822269807
maxValue = 4492
----------------------------------------.
No.		| Value		| Count	|
111		 1110		 2	
112		 1120		 3	
113		 1130		 4	
114		 1140		 6	
115		 1150		 10	
116		 1160		 2	
117		 1170		 3	
118		 1180		 6	
119		 1190		 6	
120		 1200		 8	
121		 1210		 3	
122		 1220		 3	
123		 1230		 2	
124		 1240		 4	
125		 1250		 4	
126		 1260		 2	
127		 1270		 6	
128		 1280		 4	
129		 1290		 8	
130		 1300		 4	
131		 1310		 3	
132		 1320		 4	
133		 1330		 1	
134		 1340		 9	
135		 1350		 12	
136		 1360		 4	
137		 1370		 6	
138		 1380		 3	
139		 1390		 4	
140		 1400		 10	
141		 1410		 7	
142		 1420		 7	
143		 1430		 10	
144		 1440		 9	
145		 1450		 2	
146		 1460		 1	
147		 1470		 4	
148		 1480		 6	
149		 1490		 8	
150		 1500		 11	
151		 1510		 10	
152		 1520		 7	
153		 1530		 5	
154		 1540		 4	
155		 1550		 11	
156		 1560		 7	
157		 1570		 5	
158		 1580		 5	
159		 1590		 3	
160		 1600		 2	
161		 1610		 11	
162		 1620		 7	
163		 1630		 8	
164		 1640		 7	
166		 1660		 6	
167		 1670		 3	
168		 1680		 2	
169		 1690		 2	
170		 1700		 2	
171		 1710		 5	
172		 1720		 3	
173		 1730		 4	
174		 1740		 7	
175		 1750		 11	
176		 1760		 5	
177		 1770		 6	
178		 1780		 5	
179		 1790		 8	
180		 1800		 6	
181		 1810		 5	
182		 1820		 4	
183		 1830		 1	
184		 1840		 3	
185		 1850		 7	
186		 1860		 6	
187		 1870		 3	
188		 1880		 3	
189		 1890		 5	
190		 1900		 2	
191		 1910		 4	
192		 1920		 5	
193		 1930		 3	
194		 1940		 4	
195		 1950		 7	
196		 1960		 8	
197		 1970		 3	
198		 1980		 3	
199		 1990		 3	
200		 2000		 4	
201		 2010		 7	
202		 2020		 2	
203		 2030		 4	
204		 2040		 9	
205		 2050		 7	
206		 2060		 7	
207		 2070		 6	
208		 2080		 3	
209		 2090		 1	
210		 2100		 4	
211		 2110		 3	
212		 2120		 3	
213		 2130		 4	
214		 2140		 4	
215		 2150		 3	
216		 2160		 4	
217		 2170		 8	
218		 2180		 7	
219		 2190		 8	
220		 2200		 14	
221		 2210		 11	
222		 2220		 7	
223		 2230		 10	
224		 2240		 6	
225		 2250		 10	
226		 2260		 9	
227		 2270		 8	
228		 2280		 6	
229		 2290		 8	
230		 2300		 8	
231		 2310		 7	
232		 2320		 3	
233		 2330		 15	
234		 2340		 4	
235		 2350		 6	
236		 2360		 12	
237		 2370		 6	
238		 2380		 9	
239		 2390		 6	
240		 2400		 2	
241		 2410		 4	
242		 2420		 3	
244		 2440		 2	
245		 2450		 3	
247		 2470		 5	
248		 2480		 6	
249		 2490		 6	
250		 2500		 4	
251		 2510		 2	
252		 2520		 4	
253		 2530		 5	
254		 2540		 3	
255		 2550		 3	
256		 2560		 5	
257		 2570		 6	
258		 2580		 5	
259		 2590		 3	
260		 2600		 4	
261		 2610		 2	
262		 2620		 3	
264		 2640		 2	
265		 2650		 2	
266		 2660		 2	
267		 2670		 3	
268		 2680		 5	
269		 2690		 7	
270		 2700		 3	
271		 2710		 4	
272		 2720		 3	
273		 2730		 4	
274		 2740		 2	
275		 2750		 5	
276		 2760		 2	
277		 2770		 2	
278		 2780		 2	
279		 2790		 3	
280		 2800		 1	
282		 2820		 6	
283		 2830		 1	
284		 2840		 4	
285		 2850		 4	
286		 2860		 2	
287		 2870		 1	
288		 2880		 1	
289		 2890		 2	
290		 2900		 2	
291		 2910		 3	
292		 2920		 4	
293		 2930		 1	
294		 2940		 4	
295		 2950		 1	
296		 2960		 4	
298		 2980		 2	
299		 2990		 3	
300		 3000		 3	
302		 3020		 2	
304		 3040		 1	
305		 3050		 1	
306		 3060		 1	
307		 3070		 2	
308		 3080		 2	
309		 3090		 3	
310		 3100		 6	
311		 3110		 4	
312		 3120		 2	
313		 3130		 3	
314		 3140		 5	
315		 3150		 5	
316		 3160		 3	
317		 3170		 2	
318		 3180		 2	
319		 3190		 1	
320		 3200		 3	
321		 3210		 2	
322		 3220		 3	
323		 3230		 2	
324		 3240		 2	
325		 3250		 1	
327		 3270		 1	
329		 3290		 1	
330		 3300		 1	
334		 3340		 2	
335		 3350		 2	
341		 3410		 1	
342		 3420		 1	
343		 3430		 1	
351		 3510		 1	
354		 3540		 1	
365		 3650		 1	
366		 3660		 1	
367		 3670		 1	
371		 3710		 1	
373		 3730		 2	
378		 3780		 1	
379		 3790		 1	
381		 3810		 1	
383		 3830		 1	
386		 3860		 1	
388		 3880		 1	
390		 3900		 1	
391		 3910		 1	
393		 3930		 1	
397		 3970		 1	
416		 4160		 1	
418		 4180		 1	
423		 4230		 1	
427		 4270		 1	
434		 4340		 1	
435		 4350		 1	
440		 4400		 1	
444		 4440		 1	
448		 4480		 1	
449		 4490		 1	
----------------------------------------'

